title,description,steps_to_reproduce,expected_result,actual_result,environment,module,severity,priority,category
Unused JavaScript bundle assets increase page load time (in microservice container),Legacy library dependencies included in main production bundle slowing performance. Note: Defect was verified in microservice container.,"1. Reproduce: Unused JavaScript bundle assets increase page load time
2. Observe result in microservice container",Tree-shake unused script files for optimal frontend performance,Bundle size 50KB larger than optimal performance benchmark,Staging,Performance,Low,P4,Performance
Multi-Factor Authentication MFA bypass via direct login route (in microservice container),Navigating directly to protected URL skips mandatory MFA passcode prompt during authentication. Note: Defect was verified in microservice container.,"1. Reproduce: Multi-Factor Authentication MFA bypass via direct login route
2. Observe result in microservice container",Enforce MFA authentication before issuing access token,Bypasses authentication MFA verification check,Production,Authentication,Critical,P1,Authentication
OAuth2 SSO authentication callback loop state mismatch (observed in staging deployment),Single Sign-On SSO authentication redirect fails for Azure AD login users. Note: Defect was verified observed in staging deployment.,"1. Reproduce: OAuth2 SSO authentication callback loop state mismatch
2. Observe result observed in staging deployment",Validate SSO authentication state token cleanly,Authentication redirect loop with 403 error,Staging,Authentication,High,P2,Authentication
Password reset token does not expire after single redemption (in microservice container),Password reset link remains active for authentication multiple times. Note: Defect was verified in microservice container.,"1. Reproduce: Password reset token does not expire after single redemption
2. Observe result in microservice container",Invalidate password reset token after single authentication use,Reset token re-usable for 24 hours,Production,Authentication,Medium,P3,Authentication
Login form password input field missing autocomplete attribute (in microservice container),Password manager browser extension fails to auto-fill authentication password field. Note: Defect was verified in microservice container.,"1. Reproduce: Login form password input field missing autocomplete attribute
2. Observe result in microservice container",Set autocomplete='current-password' for authentication UX,Password manager fails to detect field,Development,Authentication,Low,P4,Authentication
HTTP 504 Gateway Timeout on microservice network proxy (on mobile Safari browser),Network API gateway proxy drops inbound requests taking longer than 30 seconds. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: HTTP 504 Gateway Timeout on microservice network proxy
2. Observe result on mobile Safari browser",Maintain network proxy connection for long requests,Network proxy returns 504 Gateway Timeout,Development,Network,Critical,P1,Network
WebSocket live stream network connection drops every 60 seconds (after v1.4 patch release),Missing network ping heartbeat ping causes reverse proxy to terminate socket connection. Note: Defect was verified after v1.4 patch release.,"1. Reproduce: WebSocket live stream network connection drops every 60 seconds
2. Observe result after v1.4 patch release",Send periodic WebSocket network keep-alive ping,Network socket connection closes with code 1006,Staging,Network,High,P2,Network
CORS preflight network request fails on custom HTTP headers (in microservice container),OPTIONS network request returns 403 Forbidden due to missing Access-Control header. Note: Defect was verified in microservice container.,"1. Reproduce: CORS preflight network request fails on custom HTTP headers
2. Observe result in microservice container",Allow custom headers in CORS network handler,Browser blocks cross-origin network API request,Development,Network,Medium,P3,Network
DNS lookup retry delay adds 150ms latency to network calls (in microservice container),Secondary DNS network resolver lookup retries before resolving hostname. Note: Defect was verified in microservice container.,"1. Reproduce: DNS lookup retry delay adds 150ms latency to network calls
2. Observe result in microservice container",Fast primary DNS network resolution under 10ms,Intermittent 150ms network delay,Production,Network,Low,P4,Network
Modal dialog close button unclickable on mobile viewport UI/UX (observed in staging deployment),Modal close button positioned outside viewport UI/UX touch boundary. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Modal dialog close button unclickable on mobile viewport UI/UX
2. Observe result observed in staging deployment",Responsive UI/UX modal bounds with accessible tap target,User stuck on modal UI/UX screen,Development,UI/UX,Critical,P1,UI/UX
Filter dropdown selected values fail to clear on reset UI/UX click (under high concurrent traffic),Clicking Clear Filters resets text but leaves dropdown selection active in UI/UX state. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: Filter dropdown selected values fail to clear on reset UI/UX click
2. Observe result under high concurrent traffic",Reset all UI/UX filter components to default state,Dropdown selection remains active in UI/UX state,Production,UI/UX,High,P2,UI/UX
Dark mode text contrast ratio fails accessibility UI/UX guidelines (observed in staging deployment),Muted gray text on dark background has insufficient contrast ratio in UI/UX theme. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Dark mode text contrast ratio fails accessibility UI/UX guidelines
2. Observe result observed in staging deployment",Maintain WCAG AAA contrast ratio 4.5:1 for UI/UX,Text illegible in dark UI/UX theme,Staging,UI/UX,Medium,P3,UI/UX
User avatar image renders broken placeholder icon on CDN UI/UX 404 (on mobile Safari browser),Broken image icon rendered when user profile picture URL fails in UI/UX. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: User avatar image renders broken placeholder icon on CDN UI/UX 404
2. Observe result on mobile Safari browser",Render fallback initial avatar icon in UI/UX,Broken image placeholder shown in UI/UX layout,Staging,UI/UX,Low,P4,UI/UX
Bulk delete functional action removes wrong record IDs (when running background cron job),Select all functional checkbox maps array index instead of database record ID. Note: Defect was verified when running background cron job.,"1. Reproduce: Bulk delete functional action removes wrong record IDs
2. Observe result when running background cron job",Execute functional deletion on selected database IDs only,Deletes wrong database records in functional execution,Staging,General,Critical,P1,Functional
Incorrect functional pagination item count displayed on table footer (after v1.4 patch release),Footer displays total count from unfiltered dataset after applying functional search. Note: Defect was verified after v1.4 patch release.,"1. Reproduce: Incorrect functional pagination item count displayed on table footer
2. Observe result after v1.4 patch release",Update functional item count to match active search filter,Displays stale total count in table functional footer,Development,General,High,P2,Functional
Export CSV functional feature truncates descriptions with commas (on mobile Safari browser),CSV functional generator fails to wrap string values in double quotes. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Export CSV functional feature truncates descriptions with commas
2. Observe result on mobile Safari browser",Escape commas in CSV functional export,Splits text across columns in functional export,Production,General,Medium,P3,Functional
Date picker functional filter applies timezone offset incorrectly (on mobile Safari browser),Selecting start date converts time to UTC shifting selected functional day. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Date picker functional filter applies timezone offset incorrectly
2. Observe result on mobile Safari browser",Preserve selected date string in functional filter,Shifts selected date by -1 day in functional query,Development,General,Low,P4,Functional
Zapier webhook integration pipeline drops sync events (intermittently after session timeout),Data integration sync pipeline fails to retry dropped HTTP events under failure. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: Zapier webhook integration pipeline drops sync events
2. Observe result intermittently after session timeout",Guaranteed event delivery across integration pipeline,Integration sync events silently lost,Development,Integration,Critical,P1,Integration
Third-party REST integration API rate limit returns 429 error (in microservice container),Exceeding vendor API quota throws uncaught integration exception in worker queue. Note: Defect was verified in microservice container.,"1. Reproduce: Third-party REST integration API rate limit returns 429 error
2. Observe result in microservice container",Implement exponential backoff retry in integration client,Integration worker process crashes,Production,Integration,High,P2,Integration
Jira issue integration sync fails on custom field schema mismatch (intermittently after session timeout),Custom field value formatting causes Jira integration REST API validation error. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: Jira issue integration sync fails on custom field schema mismatch
2. Observe result intermittently after session timeout",Format payload according to Jira integration spec,Jira integration sync fails,Production,Integration,Medium,P3,Integration
Slack webhook integration notification fails when title contains quotes (under high concurrent traffic),Unescaped double quotes in bug title break Slack integration JSON payload. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: Slack webhook integration notification fails when title contains quotes
2. Observe result under high concurrent traffic",Sanitize JSON payload strings for integration webhook,Slack integration notification fails,Production,Integration,Low,P4,Integration
Cron job scheduler thread deadlocks halting automated tasks (after v1.4 patch release),Shared lock between scheduled tasks causes task runner service to stall. Note: Defect was verified after v1.4 patch release.,"1. Reproduce: Cron job scheduler thread deadlocks halting automated tasks
2. Observe result after v1.4 patch release",Isolated task execution threads for background jobs,Cron scheduler completely stops execution,Production,General,Critical,P1,Other
Email notification sender address rejected by SPF DMARC policy (intermittently after session timeout),Outbound transaction email missing valid DKIM signature in mail header. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: Email notification sender address rejected by SPF DMARC policy
2. Observe result intermittently after session timeout",Send authenticated email headers with DKIM signature,Notification emails marked as spam,Staging,General,High,P2,Other
Help center documentation search returns 500 on special characters (under high concurrent traffic),Searching documentation with quotes throws unhandled server exception. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: Help center documentation search returns 500 on special characters
2. Observe result under high concurrent traffic",Sanitize search input terms in documentation portal,500 Internal Server Error,Staging,General,Medium,P3,Other
Typo in assignment notification email subject header text (in microservice container),Notification email subject contains spelling error: 'Bug Assignned'. Note: Defect was verified in microservice container.,"1. Reproduce: Typo in assignment notification email subject header text
2. Observe result in microservice container",Correct spelling: 'Bug Assigned',Displays 'Assignned' with double n,Development,General,Low,P4,Other
SQL Injection security vulnerability in login authentication field (on mobile Safari browser),Unsanitized user input in security field allows unauthenticated SQL injection exploit against user database. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: SQL Injection security vulnerability in login authentication field
2. Observe result on mobile Safari browser",Security input sanitization and SQL parameterization should block injection payload,Security authentication check bypassed allowing unauthorized access,Staging,Security,Critical,P1,Security
Cross-Site Scripting XSS security vulnerability in comment box (intermittently after session timeout),Stored XSS security vulnerability executes arbitrary JavaScript in victim browser session. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: Cross-Site Scripting XSS security vulnerability in comment box
2. Observe result intermittently after session timeout",Security HTML tag escaping should sanitize XSS payload,Malicious XSS script tag executes on profile page,Development,Security,High,P2,Security
Missing security HTTP Content-Security-Policy headers (intermittently after session timeout),Application security response headers lack CSP protection against frame injection. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: Missing security HTTP Content-Security-Policy headers
2. Observe result intermittently after session timeout",Include security response headers CSP and X-Frame-Options,Security response headers missing CSP directives,Development,Security,Medium,P3,Security
Verbose server header leaks proxy security version info (under high concurrent traffic),HTTP Server security response header reveals backend proxy version string. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: Verbose server header leaks proxy security version info
2. Observe result under high concurrent traffic",Mask security server version strings in production,Header leaks Server version information,Development,Security,Low,P4,Security
Payment gateway deadlock causing duplicate debit charge (when running background cron job),Concurrent payment checkout requests cause deadlock resulting in double credit card debit. Note: Defect was verified when running background cron job.,"1. Reproduce: Payment gateway deadlock causing duplicate debit charge
2. Observe result when running background cron job",Atomic payment transaction lock prevents duplicate charges,Payment fails with 500 error and debits customer twice,Development,Payment,Critical,P1,Payment
Stripe payment API webhook notification signature failure (after v1.4 patch release),Asynchronous payment gateway notification webhook drops checkout completion events. Note: Defect was verified after v1.4 patch release.,"1. Reproduce: Stripe payment API webhook notification signature failure
2. Observe result after v1.4 patch release",Validate Stripe payment webhook signature correctly,Payment status remains pending after credit card charge,Development,Payment,High,P2,Payment
Currency symbol display mismatch in checkout payment summary (in microservice container),Payment conversion calculates correctly but displays wrong currency symbol prefix. Note: Defect was verified in microservice container.,"1. Reproduce: Currency symbol display mismatch in checkout payment summary
2. Observe result in microservice container",Display correct currency symbol on payment screen,Displays $ instead of EUR symbol for payment total,Staging,Payment,Medium,P3,Payment
Saved payment card mask displays 14 visible digits (during load test run),Credit card payment mask displays 14 visible digits on account billing page. Note: Defect was verified during load test run.,"1. Reproduce: Saved payment card mask displays 14 visible digits
2. Observe result during load test run",Mask all but last 4 payment card numbers,Payment card digits exposed on screen,Staging,Payment,Low,P4,Payment
Database connection pool leak exhausts active DB connections (intermittently after session timeout),Unclosed database ORM sessions leak database connection pool capacity causing API crash. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: Database connection pool leak exhausts active DB connections
2. Observe result intermittently after session timeout",Recycle idle database connection pool threads automatically,Database connection pool timeout error,Staging,Database,Critical,P1,Database
Missing composite database index causes full table scan (observed in staging deployment),Database query plan performs full table scan on 10 million database rows. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Missing composite database index causes full table scan
2. Observe result observed in staging deployment",Execute database query using composite index under 50ms,Database query latency spikes to 9 seconds,Development,Database,High,P2,Database
Read replica database synchronization delay lag (on Kubernetes cluster node 3),Replication lag on secondary database instance returns stale database records. Note: Defect was verified on Kubernetes cluster node 3.,"1. Reproduce: Read replica database synchronization delay lag
2. Observe result on Kubernetes cluster node 3",Database replication sync delay under 200ms,Stale database records returned to read query,Production,Database,Medium,P3,Database
Database migration script outputs deprecated syntax warning (intermittently after session timeout),Database schema migration succeeds but logs SQL index syntax warning. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: Database migration script outputs deprecated syntax warning
2. Observe result intermittently after session timeout",Clean database migration execution logs,Deprecated database index syntax warning logged,Production,Database,Low,P4,Database
Memory leak during PDF export triggers OOM performance crash (on mobile Safari browser),Exporting PDF documents consumes 4GB heap RAM memory causing OOM performance killer crash. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Memory leak during PDF export triggers OOM performance crash
2. Observe result on mobile Safari browser",Optimize PDF stream memory allocation under 250MB,Performance crash with OutOfMemory error,Staging,Performance,Critical,P1,Performance
High CPU utilization spike during concurrent CSV file parsing (under high concurrent traffic),Parsing 500MB CSV file locks CPU performance threads causing API response lag. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: High CPU utilization spike during concurrent CSV file parsing
2. Observe result under high concurrent traffic",Process CSV parsing in async background queue to maintain performance,Server CPU spikes to 100% performance degradation,Development,Performance,High,P2,Performance
N+1 SQL query loop in list view degrades page load performance (when running background cron job),Looping over table records triggers 150 individual SQL queries degrading performance. Note: Defect was verified when running background cron job.,"1. Reproduce: N+1 SQL query loop in list view degrades page load performance
2. Observe result when running background cron job",Use eager loading SQL joins for page performance,150 separate queries degrade load performance,Development,Performance,Medium,P3,Performance
Unused JavaScript bundle assets increase page load time (intermittently after session timeout),Legacy library dependencies included in main production bundle slowing performance. Note: Defect was verified intermittently after session timeout.,"1. Reproduce: Unused JavaScript bundle assets increase page load time
2. Observe result intermittently after session timeout",Tree-shake unused script files for optimal frontend performance,Bundle size 50KB larger than optimal performance benchmark,Production,Performance,Low,P4,Performance
Multi-Factor Authentication MFA bypass via direct login route (observed in staging deployment),Navigating directly to protected URL skips mandatory MFA passcode prompt during authentication. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Multi-Factor Authentication MFA bypass via direct login route
2. Observe result observed in staging deployment",Enforce MFA authentication before issuing access token,Bypasses authentication MFA verification check,Staging,Authentication,Critical,P1,Authentication
OAuth2 SSO authentication callback loop state mismatch (under high concurrent traffic),Single Sign-On SSO authentication redirect fails for Azure AD login users. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: OAuth2 SSO authentication callback loop state mismatch
2. Observe result under high concurrent traffic",Validate SSO authentication state token cleanly,Authentication redirect loop with 403 error,Development,Authentication,High,P2,Authentication
Password reset token does not expire after single redemption (during load test run),Password reset link remains active for authentication multiple times. Note: Defect was verified during load test run.,"1. Reproduce: Password reset token does not expire after single redemption
2. Observe result during load test run",Invalidate password reset token after single authentication use,Reset token re-usable for 24 hours,Development,Authentication,Medium,P3,Authentication
Login form password input field missing autocomplete attribute (observed in staging deployment),Password manager browser extension fails to auto-fill authentication password field. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Login form password input field missing autocomplete attribute
2. Observe result observed in staging deployment",Set autocomplete='current-password' for authentication UX,Password manager fails to detect field,Staging,Authentication,Low,P4,Authentication
HTTP 504 Gateway Timeout on microservice network proxy (on Kubernetes cluster node 3),Network API gateway proxy drops inbound requests taking longer than 30 seconds. Note: Defect was verified on Kubernetes cluster node 3.,"1. Reproduce: HTTP 504 Gateway Timeout on microservice network proxy
2. Observe result on Kubernetes cluster node 3",Maintain network proxy connection for long requests,Network proxy returns 504 Gateway Timeout,Development,Network,Critical,P1,Network
WebSocket live stream network connection drops every 60 seconds (on Kubernetes cluster node 3),Missing network ping heartbeat ping causes reverse proxy to terminate socket connection. Note: Defect was verified on Kubernetes cluster node 3.,"1. Reproduce: WebSocket live stream network connection drops every 60 seconds
2. Observe result on Kubernetes cluster node 3",Send periodic WebSocket network keep-alive ping,Network socket connection closes with code 1006,Production,Network,High,P2,Network
CORS preflight network request fails on custom HTTP headers (during load test run),OPTIONS network request returns 403 Forbidden due to missing Access-Control header. Note: Defect was verified during load test run.,"1. Reproduce: CORS preflight network request fails on custom HTTP headers
2. Observe result during load test run",Allow custom headers in CORS network handler,Browser blocks cross-origin network API request,Development,Network,Medium,P3,Network
DNS lookup retry delay adds 150ms latency to network calls (on mobile Safari browser),Secondary DNS network resolver lookup retries before resolving hostname. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: DNS lookup retry delay adds 150ms latency to network calls
2. Observe result on mobile Safari browser",Fast primary DNS network resolution under 10ms,Intermittent 150ms network delay,Development,Network,Low,P4,Network
Modal dialog close button unclickable on mobile viewport UI/UX (during load test run),Modal close button positioned outside viewport UI/UX touch boundary. Note: Defect was verified during load test run.,"1. Reproduce: Modal dialog close button unclickable on mobile viewport UI/UX
2. Observe result during load test run",Responsive UI/UX modal bounds with accessible tap target,User stuck on modal UI/UX screen,Production,UI/UX,Critical,P1,UI/UX
Filter dropdown selected values fail to clear on reset UI/UX click (on mobile Safari browser),Clicking Clear Filters resets text but leaves dropdown selection active in UI/UX state. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Filter dropdown selected values fail to clear on reset UI/UX click
2. Observe result on mobile Safari browser",Reset all UI/UX filter components to default state,Dropdown selection remains active in UI/UX state,Staging,UI/UX,High,P2,UI/UX
Dark mode text contrast ratio fails accessibility UI/UX guidelines (on Kubernetes cluster node 3),Muted gray text on dark background has insufficient contrast ratio in UI/UX theme. Note: Defect was verified on Kubernetes cluster node 3.,"1. Reproduce: Dark mode text contrast ratio fails accessibility UI/UX guidelines
2. Observe result on Kubernetes cluster node 3",Maintain WCAG AAA contrast ratio 4.5:1 for UI/UX,Text illegible in dark UI/UX theme,Development,UI/UX,Medium,P3,UI/UX
User avatar image renders broken placeholder icon on CDN UI/UX 404 (after v1.4 patch release),Broken image icon rendered when user profile picture URL fails in UI/UX. Note: Defect was verified after v1.4 patch release.,"1. Reproduce: User avatar image renders broken placeholder icon on CDN UI/UX 404
2. Observe result after v1.4 patch release",Render fallback initial avatar icon in UI/UX,Broken image placeholder shown in UI/UX layout,Development,UI/UX,Low,P4,UI/UX
Bulk delete functional action removes wrong record IDs (when running background cron job),Select all functional checkbox maps array index instead of database record ID. Note: Defect was verified when running background cron job.,"1. Reproduce: Bulk delete functional action removes wrong record IDs
2. Observe result when running background cron job",Execute functional deletion on selected database IDs only,Deletes wrong database records in functional execution,Staging,General,Critical,P1,Functional
Incorrect functional pagination item count displayed on table footer (during load test run),Footer displays total count from unfiltered dataset after applying functional search. Note: Defect was verified during load test run.,"1. Reproduce: Incorrect functional pagination item count displayed on table footer
2. Observe result during load test run",Update functional item count to match active search filter,Displays stale total count in table functional footer,Development,General,High,P2,Functional
Export CSV functional feature truncates descriptions with commas (during load test run),CSV functional generator fails to wrap string values in double quotes. Note: Defect was verified during load test run.,"1. Reproduce: Export CSV functional feature truncates descriptions with commas
2. Observe result during load test run",Escape commas in CSV functional export,Splits text across columns in functional export,Development,General,Medium,P3,Functional
Date picker functional filter applies timezone offset incorrectly (on mobile Safari browser),Selecting start date converts time to UTC shifting selected functional day. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Date picker functional filter applies timezone offset incorrectly
2. Observe result on mobile Safari browser",Preserve selected date string in functional filter,Shifts selected date by -1 day in functional query,Staging,General,Low,P4,Functional
Zapier webhook integration pipeline drops sync events (observed in staging deployment),Data integration sync pipeline fails to retry dropped HTTP events under failure. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Zapier webhook integration pipeline drops sync events
2. Observe result observed in staging deployment",Guaranteed event delivery across integration pipeline,Integration sync events silently lost,Development,Integration,Critical,P1,Integration
Third-party REST integration API rate limit returns 429 error (in microservice container),Exceeding vendor API quota throws uncaught integration exception in worker queue. Note: Defect was verified in microservice container.,"1. Reproduce: Third-party REST integration API rate limit returns 429 error
2. Observe result in microservice container",Implement exponential backoff retry in integration client,Integration worker process crashes,Production,Integration,High,P2,Integration
Jira issue integration sync fails on custom field schema mismatch (on mobile Safari browser),Custom field value formatting causes Jira integration REST API validation error. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Jira issue integration sync fails on custom field schema mismatch
2. Observe result on mobile Safari browser",Format payload according to Jira integration spec,Jira integration sync fails,Production,Integration,Medium,P3,Integration
Slack webhook integration notification fails when title contains quotes (observed in staging deployment),Unescaped double quotes in bug title break Slack integration JSON payload. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Slack webhook integration notification fails when title contains quotes
2. Observe result observed in staging deployment",Sanitize JSON payload strings for integration webhook,Slack integration notification fails,Development,Integration,Low,P4,Integration
Cron job scheduler thread deadlocks halting automated tasks (during load test run),Shared lock between scheduled tasks causes task runner service to stall. Note: Defect was verified during load test run.,"1. Reproduce: Cron job scheduler thread deadlocks halting automated tasks
2. Observe result during load test run",Isolated task execution threads for background jobs,Cron scheduler completely stops execution,Staging,General,Critical,P1,Other
Email notification sender address rejected by SPF DMARC policy (under high concurrent traffic),Outbound transaction email missing valid DKIM signature in mail header. Note: Defect was verified under high concurrent traffic.,"1. Reproduce: Email notification sender address rejected by SPF DMARC policy
2. Observe result under high concurrent traffic",Send authenticated email headers with DKIM signature,Notification emails marked as spam,Production,General,High,P2,Other
Help center documentation search returns 500 on special characters (in microservice container),Searching documentation with quotes throws unhandled server exception. Note: Defect was verified in microservice container.,"1. Reproduce: Help center documentation search returns 500 on special characters
2. Observe result in microservice container",Sanitize search input terms in documentation portal,500 Internal Server Error,Production,General,Medium,P3,Other
Typo in assignment notification email subject header text (observed in staging deployment),Notification email subject contains spelling error: 'Bug Assignned'. Note: Defect was verified observed in staging deployment.,"1. Reproduce: Typo in assignment notification email subject header text
2. Observe result observed in staging deployment",Correct spelling: 'Bug Assigned',Displays 'Assignned' with double n,Development,General,Low,P4,Other
SQL Injection security vulnerability in login authentication field (observed in staging deployment),Unsanitized user input in security field allows unauthenticated SQL injection exploit against user database. Note: Defect was verified observed in staging deployment.,"1. Reproduce: SQL Injection security vulnerability in login authentication field
2. Observe result observed in staging deployment",Security input sanitization and SQL parameterization should block injection payload,Security authentication check bypassed allowing unauthorized access,Production,Security,Critical,P1,Security
Cross-Site Scripting XSS security vulnerability in comment box (on mobile Safari browser),Stored XSS security vulnerability executes arbitrary JavaScript in victim browser session. Note: Defect was verified on mobile Safari browser.,"1. Reproduce: Cross-Site Scripting XSS security vulnerability in comment box
2. Observe result on mobile Safari browser",Security HTML tag escaping should sanitize XSS payload,Malicious XSS script tag executes on profile page,Staging,Security,High,P2,Security
Missing security HTTP Content-Security-Policy headers (in microservice container),Application security response headers lack CSP protection against frame injection. Note: Defect was verified in microservice container.,"1. Reproduce: Missing security HTTP Content-Security-Policy headers
2. Observe result in microservice container",Include security response headers CSP and X-Frame-Options,Security response headers missing CSP directives,Development,Security,Medium,P3,Security
Verbose server header leaks proxy security version info (after v1.4 patch release),HTTP Server security response header reveals backend proxy version string. Note: Defect was verified after v1.4 patch release.,"1. Reproduce: Verbose server header leaks proxy security version info
2. Observe result after v1.4 patch release",Mask security server version strings in production,Header leaks Server version information,Production,Security,Low,P4,Security
